,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-9.4310,115.3850,172.4040,-63.7671,108.0956,-2.9908,-27.3174,6.2386,7.0964,48.4117,33.7823,-13.3115,3.6755,-28.7894,33.4091,26.8749,7.7018,-18.9253,-5.3432,9.9785,27.0329
2,58.6761,147.3418,-23.5354,25.6402,29.9670,-20.3113,-5.6201,6.8037,32.3062,39.0320,0.8849,-2.1655,-19.6012,9.1887,29.2031,14.1184,-10.9339,-9.8574,4.6223,20.8045,
3,99.4402,7.5341,26.4921,11.1520,-1.6996,-7.2870,0.5928,24.9575,32.9794,11.5487,2.2635,-17.0063,4.3561,17.3510,18.6744,-3.5535,-8.0848,-0.2536,14.9516,,
4,12.3765,36.8556,14.7774,-6.0467,1.4044,-1.6475,16.8197,28.0523,13.8551,8.4741,-11.8589,1.2138,12.5006,13.6519,2.6278,-4.2881,-1.0733,9.6444,,,
5,34.6641,24.0876,-0.8156,-2.0046,3.2390,12.3154,21.6494,14.0647,10.6002,-5.6219,1.7272,8.8749,10.9882,2.0893,-0.0787,0.3129,7.3505,,,,
6,24.6053,8.2746,1.1480,0.5297,13.7793,17.4679,11.6238,11.2662,-2.0791,4.2579,8.0953,8.5602,1.9069,-0.0742,2.6674,7.1050,,,,,
7,10.9158,7.7985,2.5769,10.2861,17.8776,9.8012,9.7666,0.0856,5.6556,9.1777,8.0038,1.2515,0.0617,2.3225,7.9994,,,,,,
8,9.9672,7.6545,10.7253,14.5391,11.1052,8.5369,0.2069,6.4442,9.6893,8.8779,1.6689,-0.2439,2.1581,7.1007,,,,,,,
9,9.4499,13.9260,14.4132,9.1034,9.7531,0.2083,5.8799,9.8858,9.3316,3.0738,0.2440,1.7026,6.4635,,,,,,,,
10,14.7668,16.7176,9.5675,8.2058,2.0755,5.3465,9.0728,9.5336,4.0399,1.5415,1.9203,5.6803,,,,,,,,,
11,17.1633,12.0540,8.6882,1.4217,6.4272,8.3317,8.8715,4.7085,2.4957,2.8536,5.5106,,,,,,,,,,
12,12.8812,10.9375,2.4332,5.5302,8.9946,8.2468,4.5408,3.2012,3.5548,5.9977,,,,,,,,,,,
13,11.7659,4.9920,6.0679,8.0181,8.8356,4.3295,3.1704,4.0803,6.3505,,,,,,,,,,,,
14,6.2213,7.9904,8.2980,7.9818,5.1637,3.0821,3.9907,6.5983,,,,,,,,,,,,,
15,8.8484,9.8282,8.2348,4.6425,3.9164,3.8581,6.3477,,,,,,,,,,,,,,
16,10.4657,9.6220,5.1044,3.5254,4.5468,6.0793,,,,,,,,,,,,,,,
17,10.2173,6.6068,4.0162,4.1598,6.5477,,,,,,,,,,,,,,,,
18,7.3575,5.4657,4.5635,6.0875,,,,,,,,,,,,,,,,,
19,6.2296,5.8467,6.3385,,,,,,,,,,,,,,,,,,
20,6.5247,7.3938,,,,,,,,,,,,,,,,,,,
21,7.9263,,,,,,,,,,,,,,,,,,,,
