,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
2,19.0079,5.1193,-22.8833,38.8075,-12.1147,-4.2809,6.5067,0.1371,6.2333,-1.8753,-6.8063,3.0322,-5.5244,11.7201,-0.8979,-2.7776,-4.3786,2.5397,2.5919,2.6060,
3,24.9372,-21.0471,-0.6219,21.0516,-15.3320,1.8943,6.7294,5.8767,4.3874,-8.2934,-4.0722,-3.1839,4.8609,10.9280,-3.4853,-7.0268,-1.9317,5.2428,5.1879,,
4,-5.4188,-8.1714,-4.0313,8.5642,-10.3326,3.7124,11.5656,5.4550,-2.6650,-7.1041,-8.0523,5.0875,6.7713,6.9107,-7.6320,-5.4830,1.2835,7.8871,,,
5,2.6699,-9.7326,-8.5029,8.7926,-7.5541,8.7645,11.2235,-0.3224,-3.2295,-10.5302,-0.9687,7.2620,4.8673,1.0610,-7.0247,-2.5808,4.4312,,,,
6,-0.7852,-12.6013,-6.2965,8.5671,-2.5455,9.4006,5.5635,-1.2617,-7.3489,-4.9379,1.7160,5.9570,0.4422,-0.0115,-4.7781,0.5330,,,,,
7,-5.0770,-10.8689,-4.8178,11.8158,-0.7941,5.0839,4.0504,-5.3221,-3.2378,-2.3842,1.4366,2.0427,-0.4012,1.0089,-2.0476,,,,,,
8,-4.7590,-9.5008,-1.1009,12.2235,-2.9983,3.9504,-0.4149,-2.1137,-1.3044,-2.1940,-1.3178,1.1280,0.5522,2.8812,,,,,,,
9,-4.4023,-6.3485,0.3372,8.6548,-3.1418,-0.0055,2.0547,-0.5692,-1.2914,-4.1802,-1.7821,1.8736,2.3046,,,,,,,,
10,-2.1440,-4.8440,-1.4192,7.4390,-5.7351,2.2240,3.1451,-0.6429,-3.1983,-4.3807,-0.8745,3.4163,,,,,,,,,
11,-1.1890,-5.8281,-1.6131,3.7856,-3.4918,3.2475,2.7837,-2.4384,-3.5327,-3.4311,0.7182,,,,,,,,,,
12,-2.4399,-5.6897,-3.9184,5.3208,-2.2463,2.9469,0.8037,-2.8447,-2.7973,-1.8783,,,,,,,,,,,
13,-2.6147,-7.2923,-2.1544,5.9733,-2.1290,1.1262,0.1618,-2.2631,-1.4652,,,,,,,,,,,,
14,-4.3524,-5.6850,-1.1605,5.5430,-3.3411,0.5140,0.4992,-1.1040,,,,,,,,,,,,,
15,-3.1179,-4.6828,-1.1057,3.7887,-3.6052,0.8120,1.4323,,,,,,,,,,,,,,
16,-2.3788,-4.4511,-2.2111,3.0705,-3.1267,1.6765,,,,,,,,,,,,,,,
17,-2.3179,-5.1978,-2.5099,3.1682,-2.1782,,,,,,,,,,,,,,,,
18,-3.1464,-5.3095,-2.1515,3.8006,,,,,,,,,,,,,,,,,
19,-3.3776,-4.8865,-1.3599,,,,,,,,,,,,,,,,,,
20,-3.1011,-4.1023,,,,,,,,,,,,,,,,,,,
21,-2.4715,,,,,,,,,,,,,,,,,,,,
