,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-9.4310,115.3850,172.4040,-63.7671,108.0956,-2.9908,-27.3174,6.2386,7.0964,48.4117,33.7823,-13.3115,3.6755,-28.7894,33.4091,26.8749,7.7018,-18.9253,-5.3432,9.9785,27.0329
2,39.6682,142.2225,-0.6521,-13.1673,42.0816,-16.0305,-12.1268,6.6666,26.0729,40.9073,7.6912,-5.1977,-14.0768,-2.5313,30.1010,16.8959,-6.5554,-12.3971,2.0304,18.1985,
3,74.5030,28.5812,27.1140,-9.8997,13.6324,-9.1813,-6.1367,19.0808,28.5920,19.8421,6.3356,-13.8224,-0.5048,6.4229,22.1597,3.4732,-6.1531,-5.4964,9.7637,,
4,17.7953,45.0270,18.8087,-14.6109,11.7370,-5.3599,5.2541,22.5973,16.5201,15.5783,-3.8066,-3.8738,5.7293,6.7412,10.2598,1.1950,-2.3568,1.7573,,,
5,31.9942,33.8202,7.6874,-10.7972,10.7931,3.5509,10.4259,14.3871,13.8298,4.9083,2.6959,1.6129,6.1209,1.0283,6.9459,2.8937,2.9193,,,,
6,25.3905,20.8759,7.4445,-8.0374,16.3247,8.0674,6.0603,12.5279,5.2699,9.1958,6.3793,2.6032,1.4647,-0.0627,7.4455,6.5721,,,,,
7,15.9928,18.6674,7.3947,-1.5297,18.6717,4.7173,5.7163,5.4077,8.8934,11.5619,6.5672,-0.7912,0.4630,1.3136,10.0469,,,,,,
8,14.7262,17.1553,11.8262,2.3156,14.1035,4.5865,0.6218,8.5579,10.9937,11.0719,2.9867,-1.3719,1.6059,4.2194,,,,,,,
9,13.8523,20.2746,14.0760,0.4486,12.8949,0.2139,3.8251,10.4550,10.6230,7.2539,2.0261,-0.1710,4.1589,,,,,,,,
10,16.9107,21.5616,10.9867,0.7667,7.8106,3.1225,5.9278,10.1765,7.2382,5.9222,2.7948,2.2640,,,,,,,,,
11,18.3523,17.8821,10.3013,-2.3639,9.9190,5.0842,6.0878,7.1469,6.0284,6.2847,4.7924,,,,,,,,,,
12,15.3211,16.6273,6.3516,0.2094,11.2409,5.2999,3.7371,6.0459,6.3521,7.8759,,,,,,,,,,,
13,14.3806,12.2843,8.2223,2.0447,10.9646,3.2034,3.0087,6.3434,7.8158,,,,,,,,,,,,
14,10.5737,13.6754,9.4585,2.4388,8.5048,2.5681,3.4915,7.7023,,,,,,,,,,,,,
15,11.9663,14.5110,9.3405,0.8538,7.5216,3.0462,4.9153,,,,,,,,,,,,,,
16,12.8445,14.0731,7.3155,0.4549,7.6735,4.4028,,,,,,,,,,,,,,,
17,12.5353,11.8046,6.5261,0.9916,8.7259,,,,,,,,,,,,,,,,
18,10.5039,10.7752,6.7150,2.2869,,,,,,,,,,,,,,,,,
19,9.6072,10.7331,7.6984,,,,,,,,,,,,,,,,,,
20,9.6258,11.4961,,,,,,,,,,,,,,,,,,,
21,10.3978,,,,,,,,,,,,,,,,,,,,
