,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-8.4080,120.4374,168.6964,-64.6398,105.3870,-6.4848,-26.5941,7.7068,-0.0553,51.6576,16.3423,-11.7027,17.1107,-25.9506,36.4857,28.1382,0.9257,-19.6174,-8.3164,15.4044,23.9076
2,61.5042,147.6581,-25.3518,24.0725,26.2337,-20.7516,-4.4768,2.5097,31.1716,28.2650,-3.0224,6.6895,-13.7028,12.0347,31.1156,9.7655,-13.4316,-12.0213,6.9112,20.8515,
3,100.2063,6.3613,24.5826,8.4324,-2.8815,-6.8571,-2.2654,23.7605,24.0872,7.4282,6.5158,-11.2655,8.7921,19.4455,16.0149,-5.9918,-10.7958,1.0364,14.8165,,
4,11.7107,35.4131,12.0555,-7.2122,1.2406,-4.1152,15.8979,21.0093,9.3389,11.0396,-7.9674,5.7070,15.7409,12.1723,0.7293,-6.9609,-0.7964,9.4108,,,
5,33.6738,21.7717,-2.2780,-2.3201,0.8097,11.3542,16.0326,9.9317,11.7111,-2.6570,5.1061,12.3205,10.9622,0.8183,-2.3984,0.1391,6.6892,,,,
6,22.7621,6.8764,0.4976,-1.6673,12.6267,12.6363,8.0387,11.7778,-0.1644,7.0379,10.8530,9.1994,1.6424,-1.8929,2.3889,6.2588,,,,,
7,9.7341,7.0704,0.3597,9.1773,13.4449,6.5214,10.0627,1.4565,7.6604,11.5557,8.4966,1.5271,-0.9356,2.1669,7.1637,,,,,,
8,9.3235,5.5513,9.4810,10.5770,7.9262,8.6102,1.3132,8.0085,11.4953,9.3507,1.8737,-0.7378,2.4532,6.4301,,,,,,,
9,7.5663,12.6471,10.6690,6.1679,9.5255,1.0498,7.2022,11.3507,9.5498,3.2967,-0.2286,2.2685,6.2092,,,,,,,,
10,13.5829,13.2097,6.6962,7.9016,2.5825,6.4261,10.3395,9.6292,4.0731,1.1507,2.4043,5.6973,,,,,,,,,
11,13.9597,9.2827,8.1874,1.7988,7.2093,9.3934,8.9234,4.6530,1.9995,3.3174,5.5071,,,,,,,,,,
12,10.3020,10.2834,2.5736,6.1784,9.8042,8.2229,4.4593,2.6730,3.8568,6.0192,,,,,,,,,,,
13,11.0930,4.9303,6.4945,8.7064,8.6824,4.1901,2.6550,4.2908,6.2698,,,,,,,,,,,,
14,6.0908,8.2194,8.7903,7.7889,4.9153,2.5452,4.1603,6.4677,,,,,,,,,,,,,
15,8.9949,10.1423,7.9311,4.3632,3.3108,3.9644,6.2043,,,,,,,,,,,,,,
16,10.7001,9.2202,4.7274,2.9126,4.5461,5.9003,,,,,,,,,,,,,,,
17,9.7934,6.1430,3.3354,4.1197,6.2937,,,,,,,,,,,,,,,,
18,6.8764,4.7268,4.4265,5.8128,,,,,,,,,,,,,,,,,
19,5.4921,5.6155,5.9915,,,,,,,,,,,,,,,,,,
20,6.2615,6.9760,,,,,,,,,,,,,,,,,,,
21,7.4904,,,,,,,,,,,,,,,,,,,,
