,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000
2,19.4117,4.2845,-22.8257,38.8520,-12.3549,-3.6043,6.6057,-1.2435,8.0563,-4.5664,-4.3767,5.0011,-6.8263,11.5027,-1.1305,-3.9554,-3.5020,2.1314,4.0487,1.2711,
3,24.4942,-21.5828,-0.3808,20.5322,-15.0133,2.7186,5.2836,6.0119,3.2723,-8.4983,0.1602,-2.7516,3.0125,10.4449,-4.8376,-7.2929,-1.4008,6.2909,5.3694,,
4,-5.9766,-8.6022,-4.1717,8.7596,-9.7682,3.1689,11.2695,3.6139,-2.3673,-5.1818,-5.1192,4.5984,4.7670,5.2490,-8.4103,-5.7669,2.9495,8.0912,,,
5,2.1215,-10.3284,-8.2991,9.3743,-7.8923,9.0494,9.1598,-0.9629,-1.0556,-8.8592,1.1193,6.3058,2.0750,-0.1744,-7.7993,-1.7837,5.4485,,,,
6,-1.5163,-12.9009,-5.8026,8.1859,-2.2791,8.1154,4.5133,-0.1294,-5.2971,-3.6990,3.1830,4.0503,-1.8737,-1.2710,-4.6169,0.9635,,,,,
7,-5.5393,-10.9031,-5.0084,12.0762,-1.6651,4.4891,4.6975,-4.0401,-1.4662,-1.5144,1.8169,0.3361,-2.6722,0.6435,-2.1076,,,,,,
8,-4.9758,-10.0017,-0.7944,11.2567,-3.4308,4.8047,0.4924,-0.9396,0.1559,-2.1247,-1.0977,-0.6884,-0.8991,2.3464,,,,,,,
9,-5.0413,-6.4501,-0.2646,8.1374,-2.4566,1.0681,2.9307,0.4208,-0.5815,-4.2011,-1.8801,0.7084,0.7527,,,,,,,,
10,-2.4275,-5.6091,-1.7343,8.1121,-4.8623,3.2838,3.8966,-0.2571,-2.6444,-4.6501,-0.5453,2.0971,,,,,,,,,
11,-2.0809,-6.3721,-1.0049,4.6794,-2.5980,4.1962,2.9943,-2.1541,-3.2550,-3.3224,0.8086,,,,,,,,,,
12,-3.1263,-5.4920,-3.1413,6.2655,-1.4250,3.3884,0.9385,-2.7837,-2.2083,-1.9626,,,,,,,,,,,
13,-2.6144,-6.9325,-1.3184,6.8628,-1.7181,1.4756,0.0966,-1.8997,-1.0715,,,,,,,,,,,,
14,-4.1859,-5.2444,-0.3609,6.0112,-3.0110,0.6609,0.7338,-0.8996,,,,,,,,,,,,,
15,-2.8607,-4.2453,-0.6515,4.1742,-3.4484,1.2302,1.5245,,,,,,,,,,,,,,
16,-2.1096,-4.2757,-1.8334,3.2776,-2.7339,1.9558,,,,,,,,,,,,,,,
17,-2.2800,-5.0730,-2.2871,3.6199,-1.8994,,,,,,,,,,,,,,,,
18,-3.1466,-5.3023,-1.7169,4.1371,,,,,,,,,,,,,,,,,
19,-3.4800,-4.6902,-1.0199,,,,,,,,,,,,,,,,,,
20,-3.0236,-3.9729,,,,,,,,,,,,,,,,,,,
21,-2.4502,,,,,,,,,,,,,,,,,,,,
