,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-8.4080,120.4374,168.6964,-64.6398,105.3870,-6.4848,-26.5941,7.7068,-0.0553,51.6576,16.3423,-11.7027,17.1107,-25.9506,36.4857,28.1382,0.9257,-19.6174,-8.3164,15.4044,23.9076
2,42.0926,143.3736,-2.5262,-14.7796,38.5886,-17.1473,-11.0825,3.7532,23.1153,32.8314,1.3543,1.6885,-6.8766,0.5320,32.2461,13.7209,-9.9296,-14.1527,2.8625,19.5805,
3,75.7120,27.9441,24.9635,-12.0998,12.1318,-9.5757,-7.5491,17.7486,20.8149,15.9266,6.3556,-8.5139,5.7795,9.0007,20.8525,1.3011,-9.3951,-5.2545,9.4471,,
4,17.6873,44.0153,16.2272,-15.9718,11.0088,-7.2841,4.6284,17.3954,11.7062,16.2215,-2.8482,1.1086,10.9739,6.9233,9.1396,-1.1940,-3.7458,1.3196,,,
5,31.5523,32.1001,6.0211,-11.6943,8.7021,2.3048,6.8728,10.8946,12.7667,6.2022,3.9867,6.0147,8.8873,0.9928,5.4009,1.9228,1.2407,,,,
6,24.2784,19.7773,6.3002,-9.8532,14.9059,4.5209,3.5255,11.9072,5.1327,10.7369,7.6700,5.1491,3.5161,-0.6220,7.0058,5.2953,,,,,
7,15.2734,17.9735,5.3681,-2.8990,15.1100,2.0323,5.3652,5.4966,9.1266,13.0700,6.6796,1.1910,1.7366,1.5235,9.2713,,,,,,
8,14.2993,15.5530,10.2754,-0.6797,11.3569,3.8055,0.8208,8.9481,11.3394,11.4755,2.9714,-0.0493,3.3523,4.0837,,,,,,,
9,12.6076,19.0972,10.9336,-1.9695,11.9820,-0.0183,4.2714,10.9298,10.1312,7.4978,1.6515,1.5601,5.4565,,,,,,,,
10,16.0105,18.8188,8.4305,-0.2105,7.4448,3.1423,6.4429,9.8864,6.7175,5.8008,2.9496,3.6002,,,,,,,,,
11,16.0406,15.6548,9.1923,-2.8805,9.8073,5.1973,5.9291,6.8071,5.2545,6.6398,4.6985,,,,,,,,,,
12,13.4283,15.7754,5.7148,-0.0871,11.2291,4.8345,3.5208,5.4567,6.0651,7.9818,,,,,,,,,,,
13,13.7074,11.8629,7.8129,1.8436,10.4005,2.7145,2.5583,6.1905,7.3413,,,,,,,,,,,,
14,10.2767,13.4638,9.1512,1.7777,7.9264,1.8843,3.4265,7.3674,,,,,,,,,,,,,
15,11.8555,14.3876,8.5825,0.1890,6.7592,2.7342,4.6798,,,,,,,,,,,,,,
16,12.8097,13.4959,6.5608,-0.3650,7.2800,3.9445,,,,,,,,,,,,,,,
17,12.0734,11.2160,5.6224,0.4999,8.1932,,,,,,,,,,,,,,,,
18,10.0230,10.0291,6.1434,1.6757,,,,,,,,,,,,,,,,,
19,8.9722,10.3057,7.0114,,,,,,,,,,,,,,,,,,
20,9.2851,10.9489,,,,,,,,,,,,,,,,,,,
21,9.9406,,,,,,,,,,,,,,,,,,,,
