,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-5.2540,125.2315,163.2776,-65.6063,98.5797,-11.5789,-24.0497,9.8000,-5.3311,55.8487,7.2163,-9.2588,24.2512,-23.6374,39.1868,29.8918,-3.5167,-19.8367,-9.1354,18.2395,20.9836
2,65.3205,146.8605,-27.5481,20.8446,20.0022,-20.3442,-2.2863,-0.4623,31.2150,23.0062,-4.0443,11.8636,-9.9129,14.4608,33.2168,7.1009,-14.9047,-12.6302,8.3279,20.0100,
3,101.0595,4.6687,21.2720,3.9607,-4.0297,-5.7271,-3.8367,23.6242,19.4410,6.3372,9.0842,-7.4755,11.9433,21.5328,14.5728,-7.3592,-11.9222,1.9419,14.2645,,
4,10.9473,32.6530,7.7200,-8.4514,1.3183,-5.5642,16.0524,17.3417,7.7030,12.8637,-5.3095,8.9077,18.3433,11.5352,-0.2202,-8.1036,-0.5126,8.9784,,,
5,31.8445,17.8866,-4.0012,-2.5005,-0.9458,11.2959,13.2767,8.3878,12.6346,-0.4350,7.5794,15.0254,11.1830,0.3043,-3.3217,0.1886,6.0691,,,,
6,19.7284,5.0351,-0.1762,-3.3384,12.1400,10.2063,6.8143,12.3698,1.3823,9.2136,13.0734,9.8767,1.7238,-2.5146,2.4265,5.6048,,,,,
7,8.2358,6.1460,-1.5018,8.6146,11.0101,5.3328,10.6091,2.6815,9.3186,13.5765,9.0825,1.9786,-1.0986,2.3111,6.5938,,,,,,
8,8.5519,3.6191,8.6506,8.3291,6.5687,8.9743,2.4349,9.3939,13.1154,9.9851,2.2832,-0.5829,2.8648,6.0158,,,,,,,
9,5.8653,11.6302,8.3903,4.8467,9.5781,1.9656,8.4769,12.7469,10.0121,3.7702,-0.0760,2.8725,6.0686,,,,,,,,
10,12.6603,10.9249,5.2470,7.8544,3.1797,7.5098,11.6353,10.0240,4.4195,1.3841,2.9632,5.7656,,,,,,,,,
11,11.8800,7.7319,7.9148,2.2636,8.0135,10.5198,9.3254,4.9536,2.1479,3.9058,5.5842,,,,,,,,,,
12,8.8579,9.8052,2.7934,6.8508,10.6869,8.5528,4.7759,2.7995,4.3435,6.1629,,,,,,,,,,,
13,10.6130,4.9167,6.9435,9.4652,8.8648,4.4500,2.8094,4.7316,6.3617,,,,,,,,,,,,
14,6.0357,8.4497,9.3472,7.9102,5.0473,2.6608,4.6023,6.5496,,,,,,,,,,,,,
15,9.1702,10.4988,7.9170,4.4427,3.3222,4.3534,6.3107,,,,,,,,,,,,,,
16,10.9985,9.0688,4.6841,2.8835,4.8246,5.9803,,,,,,,,,,,,,,,
17,9.6245,5.9731,3.2007,4.3474,6.2967,,,,,,,,,,,,,,,,
18,6.6911,4.4816,4.5447,5.7849,,,,,,,,,,,,,,,,,
19,5.2372,5.6159,5.8807,,,,,,,,,,,,,,,,,,
20,6.2373,6.7745,,,,,,,,,,,,,,,,,,,
21,7.2787,,,,,,,,,,,,,,,,,,,,
