,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000
2,19.2391,3.3479,-22.7064,38.2014,-12.5068,-2.2930,6.3937,-2.4164,9.7489,-6.2591,-2.6797,5.6812,-7.3200,11.3653,-1.2422,-4.8472,-2.8502,2.0234,4.6757,0.4063,
3,23.2856,-22.1473,-0.3305,19.4348,-14.1008,3.9296,3.7404,6.1784,2.9237,-8.5460,2.5583,-2.6079,2.2299,10.1837,-5.8043,-7.5135,-0.8301,6.7987,5.1302,,
4,-6.9546,-9.2084,-4.5713,9.2533,-8.6849,3.0301,10.7325,2.5413,-1.7541,-4.2930,-3.3288,4.2801,3.9000,4.1046,-8.9633,-5.8500,4.0109,7.9451,,,
5,0.9855,-11.1767,-7.8455,10.3188,-7.6953,9.5962,7.5802,-1.1378,0.3668,-7.9799,2.4392,5.7725,0.5811,-1.0163,-8.2277,-1.3505,5.9627,,,,
6,-2.8542,-13.1121,-4.9902,8.2754,-1.5587,7.6073,3.7715,0.5171,-3.9010,-3.0549,4.1626,2.8638,-3.1012,-2.0125,-4.5924,1.0568,,,,,
7,-6.2440,-10.7710,-4.8025,12.7687,-1.7391,4.5182,4.7740,-3.2355,-0.2483,-1.0550,2.0406,-0.7079,-3.8050,0.3298,-2.3168,,,,,,
8,-5.3322,-10.2535,-0.0991,11.1307,-3.1611,5.4910,0.8309,-0.2021,1.1930,-2.2032,-0.9589,-1.7114,-1.6657,1.8329,,,,,,,
9,-5.7043,-6.2828,-0.1879,8.3878,-1.6775,1.9184,3.2569,1.0624,-0.0796,-4.3056,-1.8635,-0.0278,-0.1735,,,,,,,,
10,-2.7014,-5.8721,-1.4001,8.9222,-3.9668,4.1042,4.1753,-0.0385,-2.2343,-4.8332,-0.3608,1.1858,,,,,,,,,
11,-2.7163,-6.4153,-0.2238,5.6330,-1.7119,4.9480,2.9129,-1.9825,-2.9637,-3.3519,0.7674,,,,,,,,,,
12,-3.5310,-5.1518,-2.2549,7.2366,-0.5921,3.7701,0.8458,-2.6951,-1.8041,-2.1766,,,,,,,,,,,
13,-2.6467,-6.4792,-0.4035,7.7965,-1.1996,1.8039,-0.0522,-1.6926,-0.8594,,,,,,,,,,,,
14,-4.0796,-4.7326,0.5284,6.6209,-2.5530,0.9047,0.7120,-0.8538,,,,,,,,,,,,,
15,-2.6785,-3.7273,-0.0324,4.7206,-3.0722,1.5737,1.3600,,,,,,,,,,,,,,
16,-1.9005,-3.9585,-1.2761,3.7396,-2.2741,2.1478,,,,,,,,,,,,,,,
17,-2.2358,-4.7929,-1.8058,4.1709,-1.5727,,,,,,,,,,,,,,,,
18,-3.1178,-5.0723,-1.1565,4.5525,,,,,,,,,,,,,,,,,
19,-3.4826,-4.3788,-0.5744,,,,,,,,,,,,,,,,,,
20,-2.9398,-3.7452,,,,,,,,,,,,,,,,,,,
21,-2.4335,,,,,,,,,,,,,,,,,,,,
