,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-5.2540,125.2315,163.2776,-65.6063,98.5797,-11.5789,-24.0497,9.8000,-5.3311,55.8487,7.2163,-9.2588,24.2512,-23.6374,39.1868,29.8918,-3.5167,-19.8367,-9.1354,18.2395,20.9836
2,46.0814,143.5126,-4.8417,-17.3568,32.5090,-18.0512,-8.6800,1.9541,21.4661,29.2653,-1.3646,6.1824,-2.5929,3.0954,34.4590,11.9481,-12.0545,-14.6536,3.6522,19.6037,
3,77.7739,26.8160,21.6025,-15.4741,10.0711,-9.6567,-7.5771,17.4458,16.5173,14.8831,6.5259,-4.8676,9.7134,11.3491,20.3771,0.1543,-11.0920,-4.8569,9.1343,,
4,17.9019,41.8614,12.2913,-17.7047,10.0033,-8.5942,5.3199,14.8004,9.4571,17.1567,-1.9807,4.6275,14.4433,7.4306,8.7431,-2.2536,-4.5236,1.0334,,,
5,30.8590,29.0632,3.8443,-12.8193,6.7495,1.6997,5.6965,9.5256,12.2678,7.5449,5.1402,9.2529,10.6019,1.3206,4.9060,1.5391,0.1065,,,,
6,22.5826,18.1473,4.8140,-11.6137,13.6987,2.5990,3.0429,11.8527,5.2833,12.2685,8.9108,7.0129,4.8250,-0.5021,7.0189,4.5479,,,,,
7,14.4798,16.9170,3.3007,-4.1542,12.7492,0.8146,5.8351,5.9170,9.5669,14.6316,7.0420,2.6865,2.7064,1.9813,8.9106,,,,,,
8,13.8841,13.8725,8.7497,-2.8016,9.7299,3.4834,1.6041,9.5960,11.9224,12.1883,3.2421,1.1285,4.5305,4.1829,,,,,,,
9,11.5696,17.9130,8.5783,-3.5412,11.2557,0.0472,5.2201,11.6846,10.0916,8.0758,1.7875,2.9003,6.2422,,,,,,,,
10,15.3617,16.7970,6.6471,-1.0678,7.1465,3.4057,7.4600,10.0624,6.6538,6.2173,3.3240,4.5798,,,,,,,,,
11,14.5963,14.1473,8.1387,-3.3695,9.7254,5.5717,6.4125,6.9361,5.1116,7.2577,4.8167,,,,,,,,,,
12,12.3889,14.9569,5.0484,-0.3858,11.2790,4.7827,3.9301,5.4946,6.1476,8.3395,,,,,,,,,,,
13,13.2597,11.3959,7.3470,1.6688,10.0644,2.6461,2.8616,6.4242,7.2212,,,,,,,,,,,,
14,10.1152,13.1823,8.8188,1.2893,7.6003,1.7561,3.8904,7.4034,,,,,,,,,,,,,
15,11.8486,14.2261,7.9494,-0.2780,6.3944,2.7797,4.9507,,,,,,,,,,,,,,
16,12.8990,13.0273,5.9601,-0.8560,7.0986,3.8325,,,,,,,,,,,,,,,
17,11.8603,10.7660,5.0065,0.1765,7.8694,,,,,,,,,,,,,,,,
18,9.8088,9.5539,5.7012,1.2324,,,,,,,,,,,,,,,,,
19,8.7198,9.9947,6.4551,,,,,,,,,,,,,,,,,,
20,9.1770,10.5197,,,,,,,,,,,,,,,,,,,
21,9.7122,,,,,,,,,,,,,,,,,,,,
