,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-12.8990,102.5143,187.7177,-60.6060,132.4270,10.5133,-33.4874,1.1831,18.0604,40.4516,43.8468,-17.1740,0.6120,-32.5375,28.1401,22.2558,17.2444,-18.9059,-5.9012,7.6817,32.4608
2,50.9742,149.2302,-16.6817,36.8126,48.0848,-21.5407,-10.9020,12.0239,32.0081,42.5830,0.6547,-5.4507,-23.3754,4.7859,24.3314,18.9918,-8.1647,-10.2118,2.9735,23.2330,
3,98.6929,12.6176,37.5962,24.0176,1.7892,-10.1996,2.7769,24.6924,37.2749,10.7586,0.6334,-20.8110,0.2599,12.9465,20.9603,-1.2756,-7.0093,-1.4848,16.3616,,
4,15.5933,45.8324,27.3866,-2.2326,1.5483,0.4756,15.8476,31.2154,14.4449,6.7470,-14.7872,-2.7125,8.3640,14.5433,3.9748,-3.1737,-1.2640,10.6256,,,
5,41.3161,35.1529,4.5072,-1.0942,6.6399,11.8754,23.5719,14.6083,9.9685,-8.5045,-1.5500,4.9306,11.0775,2.6911,0.6223,0.3517,8.6528,,,,
6,33.5905,13.7244,3.5770,3.9765,14.6745,19.2933,11.7030,10.7912,-4.0698,1.0651,4.6546,8.1393,1.9784,0.1883,2.5649,8.3460,,,,,
7,15.6445,10.7816,6.8536,11.5180,20.4256,10.0737,9.0747,-1.6314,3.1694,5.8271,7.4998,0.9351,-0.0322,1.9916,8.9713,,,,,,
8,12.7016,12.1827,12.8753,17.1269,12.1688,8.0941,-1.5544,4.2335,6.9175,8.0860,1.2708,-0.6230,1.6176,7.7650,,,,,,,
9,13.6067,16.5591,17.5954,10.3753,10.0462,-1.2459,3.7011,7.3734,8.7256,2.4215,-0.1957,0.9813,6.8557,,,,,,,,
10,17.2920,20.2057,11.4982,8.7499,1.3538,3.4660,6.6285,8.9226,3.5271,0.8926,1.1822,5.8405,,,,,,,,,
11,20.4710,14.3927,9.8724,1.0089,5.1857,6.1703,8.1485,4.1794,1.9624,1.9681,5.5813,,,,,,,,,,
12,15.1748,12.5607,2.6862,4.5914,7.3997,7.6260,3.9029,2.6538,2.7866,5.8772,,,,,,,,,,,
13,13.4155,5.7409,5.7334,6.7153,8.5750,3.7741,2.5282,3.3183,6.2681,,,,,,,,,,,,
14,7.0733,8.1374,7.5485,7.8857,4.9291,2.5124,3.1622,6.4703,,,,,,,,,,,,,
15,9.1342,9.5375,8.5393,4.5569,3.6348,3.1064,6.1218,,,,,,,,,,,,,,
16,10.3317,10.2537,5.3901,3.3815,4.0626,5.8840,,,,,,,,,,,,,,,
17,10.9260,7.2009,4.2158,3.8104,6.5481,,,,,,,,,,,,,,,,
18,8.0276,5.9580,4.5367,6.1812,,,,,,,,,,,,,,,,,
19,6.8003,6.1040,6.6908,,,,,,,,,,,,,,,,,,
20,6.8698,7.9749,,,,,,,,,,,,,,,,,,,
21,8.5677,,,,,,,,,,,,,,,,,,,,
