,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,18.1616,7.8447,-23.1447,41.1244,-12.1845,-7.2759,7.0617,2.7275,3.2378,0.4439,-8.4977,3.2624,-5.7619,11.8092,-0.8319,-0.7320,-5.6728,2.4334,2.3121,3.8027,
3,26.8433,-19.2944,-0.5146,23.6229,-17.7568,-0.8025,10.1567,5.8660,3.6635,-7.9634,-5.5945,-3.3438,4.8048,11.0860,-1.5057,-6.4194,-3.3675,4.8514,6.0543,,
4,-3.3168,-6.1470,-3.2378,7.1923,-13.1160,3.6740,13.0671,6.5747,-4.1113,-7.1627,-9.6170,5.1596,6.8171,9.0373,-6.4989,-5.4403,-0.3361,8.4845,,,
5,5.3495,-7.4442,-9.6230,6.3020,-8.6957,7.5929,13.6438,-0.2496,-4.7596,-11.0842,-2.2647,7.4391,6.5690,2.5944,-6.3629,-2.9756,3.6553,,,,
6,2.2407,-11.8525,-8.2856,7.5474,-4.5112,9.2679,6.8410,-1.5595,-9.0809,-5.3897,0.6333,7.6035,1.7960,1.1172,-4.5361,0.6514,,,,,
7,-3.5378,-10.9797,-5.8741,9.7669,-2.0056,4.4224,4.8307,-6.0869,-4.8707,-2.7533,1.6849,3.4389,0.6781,1.7339,-1.4310,,,,,,
8,-4.0664,-9.1098,-2.9938,10.8756,-4.4252,3.0862,-0.2795,-2.9247,-2.8050,-1.5414,-1.0825,2.3121,1.3156,3.9551,,,,,,,
9,-3.3041,-6.7260,-1.0920,7.0240,-4.6535,-1.2161,2.0734,-1.3658,-1.8082,-3.5945,-1.5972,2.7904,3.4061,,,,,,,,
10,-1.7834,-4.9959,-2.9953,5.6759,-7.4171,0.9829,3.1053,-0.6385,-3.6358,-3.8667,-0.8304,4.6656,,,,,,,,,
11,-0.6679,-6.1932,-3.2837,1.8313,-5.2177,2.0304,3.4473,-2.4256,-3.9415,-3.0536,1.1174,,,,,,,,,,
12,-2.1862,-6.2192,-5.6965,3.2734,-3.9460,2.4523,1.4073,-2.8483,-3.2643,-1.1957,,,,,,,,,,,
13,-2.5636,-7.9811,-4.0545,3.9226,-3.2137,0.6831,0.7044,-2.3499,-1.6124,,,,,,,,,,,,
14,-4.5028,-6.5583,-3.0861,4.1226,-4.3256,0.0913,0.9308,-0.9175,,,,,,,,,,,,,
15,-3.4763,-5.6474,-2.5241,2.4851,-4.5376,0.3426,2.1095,,,,,,,,,,,,,,
16,-2.8587,-5.0588,-3.5116,1.8271,-4.0790,1.4768,,,,,,,,,,,,,,,
17,-2.4989,-5.7482,-3.7540,1.9055,-2.8915,,,,,,,,,,,,,,,,
18,-3.3026,-5.8512,-3.4171,2.7808,,,,,,,,,,,,,,,,,
19,-3.5489,-5.4841,-2.4317,,,,,,,,,,,,,,,,,,
20,-3.3445,-4.5739,,,,,,,,,,,,,,,,,,,
21,-2.6158,,,,,,,,,,,,,,,,,,,,
