,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-36.8228,-32.6164,-37.5245,49.4882,10.7455,1.8947,7.2804,19.2371,-41.5735,54.6133,20.1441,3.6593,18.3506,36.9168,19.4036,9.7508,7.2742,32.9915,0.0369,39.4574,48.8771,27.5051,-32.3831,55.1296,25.8840,21.0247
2,-33.8300,-36.1695,13.6709,23.5791,4.8349,5.4327,14.9713,-26.2694,14.3011,31.9074,9.1225,13.1049,29.9885,25.4671,13.0329,8.1165,23.3947,10.6479,24.3463,45.3196,35.0219,-16.2720,18.8263,36.0557,22.7355,
3,-36.0012,0.9628,12.2557,12.7807,6.0294,11.9377,-18.3328,8.3073,17.0516,17.8955,13.4846,23.8154,24.9766,17.8245,10.2175,19.4064,11.6943,23.5141,35.0988,37.0248,-3.0297,14.2301,22.0995,28.9577,,
4,-5.7657,4.7145,8.1839,10.6632,10.9244,-13.9041,6.3989,12.6740,11.8394,18.0635,21.6548,22.1959,19.2023,13.7746,18.2666,11.7734,21.3084,32.0321,32.3889,5.7753,16.3788,18.4344,21.7068,,,
5,-0.4391,3.7915,7.8966,13.2541,-10.4613,5.3356,10.5668,9.7861,13.8100,23.3690,20.9844,18.3553,15.4718,19.2808,12.3855,19.5568,28.7572,30.7332,8.3583,19.0929,19.1610,19.2040,,,,
6,0.2228,4.7433,10.8037,-5.7953,5.0869,9.1449,8.6892,11.9784,19.2776,22.3864,18.0799,15.4451,19.6609,14.0748,18.7543,26.1531,28.4584,11.0022,18.8985,20.7475,19.6233,,,,,
7,1.9241,7.9900,-5.2192,6.5992,8.4423,7.8511,10.8282,17.0572,19.3044,19.6048,15.6475,19.0333,15.1171,19.1651,24.5323,26.4282,12.0865,19.4665,20.3521,20.8060,,,,,,
8,5.3931,-5.6511,5.6595,9.2350,7.4483,9.8974,15.4840,17.4952,17.4608,17.2015,18.7311,15.1968,19.3500,24.0996,25.0576,12.5784,19.2525,20.6241,20.4755,,,,,,,
9,-6.4401,4.2590,8.1831,8.2091,9.3418,14.1852,16.1336,16.1684,15.6956,19.6611,15.3973,18.9158,23.6579,24.6284,13.0786,18.8197,20.3060,20.6887,,,,,,,,
10,2.7890,6.7779,7.4299,9.7836,13.2738,14.9623,15.1518,14.7847,18.1128,16.5556,18.6827,22.8093,24.1892,14.0231,18.5704,19.8205,20.4092,,,,,,,,,
11,5.3272,6.3015,8.9754,13.2704,14.1012,14.2354,14.0414,17.0862,15.5196,19.3524,22.2099,23.3929,14.7161,18.8330,19.5025,19.9761,,,,,,,,,,
12,5.0907,7.8751,12.2660,14.0225,13.5470,13.3389,16.2255,14.8546,18.1854,22.4651,22.8066,14.9016,18.9889,19.6459,19.6810,,,,,,,,,,,
13,6.7051,11.0437,13.0730,13.5247,12.8045,15.4195,14.2792,17.3673,21.1531,22.9820,15.1221,18.7812,19.7133,19.7931,,,,,,,,,,,,
14,9.7857,11.9232,12.7141,12.8441,14.7781,13.7100,16.6516,20.1762,21.7543,15.9209,18.6610,19.4666,19.8417,,,,,,,,,,,,,
15,10.7344,11.7038,12.1625,14.6643,13.2568,15.9611,19.3144,20.8191,15.3388,19.1056,19.3045,19.6076,,,,,,,,,,,,,,
16,10.6409,11.2823,13.9209,13.2623,15.3912,18.4951,19.9835,14.9406,18.3485,19.6637,19.4488,,,,,,,,,,,,,,,
17,10.3384,13.0068,12.6722,15.2511,17.8022,19.1838,14.5667,17.7806,18.9289,19.7698,,,,,,,,,,,,,,,,
18,12.0412,11.9053,14.5853,17.5170,18.4985,14.1701,17.2548,18.3660,19.0822,,,,,,,,,,,,,,,,,
19,11.0736,13.7673,16.7650,18.1905,13.8351,16.7254,17.8417,18.5491,,,,,,,,,,,,,,,,,,
20,12.8972,15.8831,17.4501,13.8210,16.2671,17.3137,18.0486,,,,,,,,,,,,,,,,,,,
21,14.9611,16.5875,13.3628,16.1173,16.8520,17.5422,,,,,,,,,,,,,,,,,,,,
22,15.6862,12.7581,15.5695,16.6799,17.0958,,,,,,,,,,,,,,,,,,,,,
23,12.0900,14.8946,16.1355,16.9210,,,,,,,,,,,,,,,,,,,,,,
24,14.1681,15.4711,16.3944,,,,,,,,,,,,,,,,,,,,,,,
25,14.7575,15.7528,,,,,,,,,,,,,,,,,,,,,,,,
26,15.0628,,,,,,,,,,,,,,,,,,,,,,,,,
