,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000
2,0.9235,-1.0527,17.0306,-5.0877,-1.3931,0.8799,1.8704,-9.7356,19.2563,-4.3860,-2.4752,2.3432,2.6929,-2.3936,-1.4426,-0.3889,3.9520,-4.6953,6.2324,1.2292,-2.7554,-9.1240,16.4087,-3.6881,-0.6950,
3,-0.3106,15.2675,11.1254,-6.2599,-0.5482,2.7029,-9.0829,5.7997,14.2847,-6.5137,-0.3201,4.9437,0.3680,-3.6898,-1.8054,3.2859,-0.8940,0.6358,7.5108,-1.3103,-11.7065,4.0527,12.3910,-4.2450,,
4,14.8274,13.3454,6.8631,-5.3216,1.3138,-7.3205,2.7184,6.0161,8.8501,-4.8026,2.4662,3.1914,-1.5132,-4.0115,1.3339,-0.0987,2.5320,3.1142,4.8216,-9.8927,-2.4102,4.5244,9.2726,,,
5,14.6914,10.4081,5.4110,-3.3740,-7.1117,2.0148,3.7847,3.7348,7.9169,-2.1868,1.7529,1.2620,-2.4270,-1.4006,-0.9539,2.6430,4.4919,2.0991,-3.9994,-3.5689,-1.0143,3.9053,,,,
6,12.7274,9.1755,5.6992,-9.7325,0.5641,3.1934,2.4341,3.9698,8.7512,-2.1225,0.4835,0.0486,-0.6289,-2.8913,1.4291,4.4338,3.6590,-4.5574,0.3350,-2.4455,-0.6931,,,,,
7,11.8432,9.3530,-1.8668,-3.4053,1.8189,2.2302,2.9240,5.3265,7.5515,-2.6801,-0.4156,1.2735,-2.0458,-0.7771,3.1466,3.8987,-2.2514,-1.0581,0.7695,-2.0749,,,,,,
8,12.0988,1.9619,3.1657,-1.9886,1.2000,2.7633,4.3196,4.8330,5.9602,-3.0978,0.6758,-0.1864,-0.3920,0.8732,2.9232,-1.1758,0.4697,-0.5578,0.7135,,,,,,,
9,4.9928,6.4317,3.8637,-2.1475,1.8123,4.0911,4.0825,3.8335,4.6726,-1.9864,-0.5054,1.0774,0.9830,0.9337,-1.2899,1.0762,0.7545,-0.4757,,,,,,,,
10,9.1472,6.9196,3.1767,-1.3475,3.1147,3.9708,3.3329,2.9665,5.0671,-2.7357,0.6158,2.1833,1.0396,-2.4220,0.6619,1.2871,0.7111,,,,,,,,,
11,9.5396,6.1035,3.5132,0.0111,3.1321,3.3573,2.6435,3.4913,3.7234,-1.6448,1.6278,2.1571,-1.9010,-0.6886,0.8904,1.2184,,,,,,,,,,
12,8.6707,6.2772,4.4847,0.2635,2.6799,2.7657,3.1707,2.4564,4.3104,-0.6411,1.6622,-0.5764,-0.4346,-0.3933,0.8696,,,,,,,,,,,
13,8.7530,7.0871,4.4393,0.0792,2.2180,3.2649,2.2832,3.0885,4.9060,-0.4571,-0.7083,0.6511,-0.1952,-0.3216,,,,,,,,,,,,
14,9.4623,6.9328,4.0010,-0.1491,2.7247,2.4676,2.8875,3.7180,4.7370,-2.3237,0.3882,0.7989,-0.1461,,,,,,,,,,,,,
15,9.2396,6.4026,3.5459,0.4369,2.0477,3.0296,3.4918,3.6552,2.5230,-1.2989,0.5389,0.7842,,,,,,,,,,,,,,
16,8.6489,5.8589,3.9212,-0.0220,2.5976,3.5962,3.4632,1.7338,3.2644,-1.0761,0.5433,,,,,,,,,,,,,,,
17,8.0430,6.1328,3.2850,0.5732,3.1519,3.5791,1.7173,2.4562,3.2359,-0.9868,,,,,,,,,,,,,,,,
18,8.2434,5.4232,3.7122,1.1642,3.1693,1.9591,2.3928,2.4790,3.0993,,,,,,,,,,,,,,,,,
19,7.4773,5.7625,4.1587,1.2758,1.7018,2.5853,2.4243,2.3971,,,,,,,,,,,,,,,,,,
20,7.7496,6.1311,4.1419,0.0639,2.2991,2.6133,2.3572,,,,,,,,,,,,,,,,,,,
21,8.0579,6.0491,2.8062,0.6674,2.3430,2.5482,,,,,,,,,,,,,,,,,,,,
22,7.9231,4.6619,3.2975,0.7751,2.2985,,,,,,,,,,,,,,,,,,,,,
23,6.4887,5.0872,3.3035,0.7981,,,,,,,,,,,,,,,,,,,,,,
24,6.8609,5.0368,3.2324,,,,,,,,,,,,,,,,,,,,,,,
25,6.7629,4.9133,,,,,,,,,,,,,,,,,,,,,,,,
26,6.5940,,,,,,,,,,,,,,,,,,,,,,,,,
