,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-36.8228,-32.6164,-37.5245,49.4882,10.7455,1.8947,7.2804,19.2371,-41.5735,54.6133,20.1441,3.6593,18.3506,36.9168,19.4036,9.7508,7.2742,32.9915,0.0369,39.4574,48.8771,27.5051,-32.3831,55.1296,25.8840,21.0247
2,-34.7535,-35.1168,-3.3597,28.6668,6.2280,4.5528,13.1009,-16.5338,-4.9552,36.2934,11.5977,10.7616,27.2957,27.8607,14.4755,8.5054,19.4427,15.3433,18.1139,44.0903,37.7773,-7.1480,2.4177,39.7438,23.4304,
3,-35.6905,-14.3047,1.1302,19.0405,6.5776,9.2348,-9.2499,2.5076,2.7669,24.4092,13.8047,18.8717,24.6086,21.5143,12.0229,16.1205,12.5883,22.8783,27.5880,38.3351,8.6768,10.1774,9.7084,33.2027,,
4,-20.5932,-8.6309,1.3208,15.9848,9.6106,-6.5836,3.6805,6.6578,2.9893,22.8661,19.1885,19.0044,20.7155,17.7861,16.9327,11.8721,18.7764,28.9180,27.5673,15.6680,18.7890,13.9100,12.4342,,,
5,-15.1305,-6.6166,2.4856,16.6281,-3.3495,3.3209,6.7821,6.0513,5.8931,25.5559,19.2315,17.0933,17.8988,20.6814,13.3394,16.9138,24.2653,28.6342,12.3576,22.6618,20.1753,15.2987,,,,
6,-12.5047,-4.4322,5.1044,3.9372,4.5228,5.9515,6.2551,8.0086,10.5263,24.5089,17.5963,15.3965,20.2897,16.9662,17.3251,21.7193,24.7995,15.5596,18.5635,23.1930,20.3164,,,,,
7,-9.9191,-1.3630,-3.3524,10.0045,6.6234,5.6210,7.9043,11.7307,11.7529,22.2849,16.0631,17.7598,17.1629,19.9422,21.3858,22.5295,14.3379,20.5247,19.5827,22.8809,,,,,,
8,-6.7057,-7.6129,2.4939,11.2236,6.2483,7.1341,11.1644,12.6621,11.5007,20.2993,18.0552,15.3832,19.7420,23.2264,22.1343,13.7542,18.7827,21.1819,19.7620,,,,,,,
9,-11.4329,-2.1728,4.3194,10.3566,7.5295,10.0941,12.0511,12.3349,11.0230,21.6475,15.9027,17.8384,22.6749,23.6947,14.3685,17.7435,19.5515,21.1644,,,,,,,,
10,-6.3582,-0.1417,4.2532,11.1311,10.1591,10.9915,11.8189,11.8182,13.0457,19.2913,18.0670,20.6260,23.1496,16.4451,17.9085,18.5333,19.6980,,,,,,,,,
11,-4.2124,0.1980,5.4622,13.2593,10.9691,10.8781,11.3979,13.5950,11.7962,20.9973,20.5821,21.2357,16.6171,19.5215,18.6122,18.7577,,,,,,,,,,
12,-3.5799,1.5979,7.7813,13.7590,10.8670,10.5732,13.0549,12.3982,13.8750,23.1062,21.1444,15.4780,19.4235,20.0392,18.8114,,,,,,,,,,,
13,-2.0479,3.9566,8.6337,13.4455,10.5864,12.1546,11.9960,14.2788,16.2471,23.4391,15.8304,18.1301,19.9085,20.1147,,,,,,,,,,,,
14,0.3235,4.9904,8.7131,12.9932,12.0534,11.2424,13.7641,16.4582,17.0172,18.2447,18.2728,18.6677,19.9879,,,,,,,,,,,,,
15,1.4947,5.3012,8.6166,14.2274,11.2092,12.9315,15.8226,17.1639,12.8158,20.4044,18.7656,18.8234,,,,,,,,,,,,,,
16,1.9920,5.4234,9.9997,13.2843,12.7936,14.8989,16.5203,13.2068,15.0841,20.7398,18.9055,,,,,,,,,,,,,,,
17,2.2954,6.8739,9.3871,14.6779,14.6503,15.6046,12.8493,15.3244,15.6929,20.7565,,,,,,,,,,,,,,,,
18,3.7977,6.4821,10.8730,16.3528,15.3292,12.2110,14.8620,15.8870,15.9829,,,,,,,,,,,,,,,,,
19,3.5963,8.0048,12.6064,16.9147,12.1333,14.1401,15.4173,16.1519,,,,,,,,,,,,,,,,,,
20,5.1475,9.7520,13.3081,13.7571,13.9680,14.7004,15.6914,,,,,,,,,,,,,,,,,,,
21,6.9033,10.5384,10.5566,15.4499,14.5089,14.9939,,,,,,,,,,,,,,,,,,,,
22,7.7631,8.0962,12.2720,15.9048,14.7973,,,,,,,,,,,,,,,,,,,,,
23,5.6013,9.8074,12.8320,16.1229,,,,,,,,,,,,,,,,,,,,,,
24,7.3071,10.4343,13.1620,,,,,,,,,,,,,,,,,,,,,,,
25,7.9947,10.8396,,,,,,,,,,,,,,,,,,,,,,,,
26,8.4689,,,,,,,,,,,,,,,,,,,,,,,,,
