,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-14.9870,76.7330,203.0949,-59.1939,140.4421,17.6433,-32.7842,-0.7727,32.4964,35.2633,76.5880,-19.6874,-16.8897,-36.2810,26.9822,20.4536,21.6107,-20.7712,-5.2842,2.7919,29.0159
2,37.6110,143.8986,-12.3456,40.6717,56.2783,-19.1219,-11.8248,19.9909,34.2504,59.8682,7.2053,-17.7660,-30.9723,2.6086,22.7450,21.2002,-8.3739,-10.4443,0.0507,19.3026,
3,93.6069,12.7306,42.6018,29.6803,5.8394,-9.9068,8.2591,26.9031,51.7906,16.9889,-5.5837,-28.4919,-4.2632,10.9850,22.2122,-1.4069,-6.8001,-3.8847,13.3187,,
4,14.5986,47.5947,33.4190,1.3813,3.2007,5.3376,17.7463,42.4391,21.6152,2.6452,-20.2822,-7.6482,4.9371,14.8792,3.7572,-2.9941,-2.9777,8.0088,,,
5,41.8655,38.7717,8.8324,0.6630,11.7430,13.9498,32.4923,21.0800,8.2592,-12.9782,-5.4065,1.1116,9.9780,2.1327,0.6954,-1.0759,6.5795,,,,
6,35.9549,16.6560,6.1554,8.5799,17.3659,27.0429,17.3465,9.9759,-6.9094,-2.2996,1.4773,6.4214,0.5174,-0.0252,1.2851,6.5493,,,,,
7,17.7394,12.5682,11.7192,14.1088,27.8292,15.3281,8.6487,-3.6857,0.8579,2.9350,6.0056,-0.9597,-0.9689,0.6695,7.3415,,,,,,
8,13.9678,16.1593,15.9317,23.7627,17.5094,8.1129,-3.1729,2.4650,4.7878,6.6174,-0.4400,-1.9544,-0.1398,6.1573,,,,,,,
9,16.8999,19.1222,24.1283,15.3412,10.7625,-2.3792,2.2592,5.6622,7.7163,0.7415,-1.4408,-1.0040,4.9468,,,,,,,,
10,19.4294,25.9470,16.5817,9.6228,0.9436,2.4027,5.1875,8.1477,2.2486,-0.3789,-0.6721,3.7807,,,,,,,,,
11,25.5132,18.9471,11.2699,0.8400,4.7029,5.0488,7.5215,3.1240,0.9863,0.1438,3.6461,,,,,,,,,,
12,19.2289,13.8664,3.0955,4.3164,6.7726,7.2060,2.9976,1.8406,1.2565,3.9790,,,,,,,,,,,
13,14.5651,6.1662,5.9559,6.2791,8.5201,3.0737,1.8269,1.9710,4.6253,,,,,,,,,,,,
14,7.4317,8.3937,7.5576,7.9576,4.5835,1.9768,1.9500,4.9941,,,,,,,,,,,,,
15,9.3458,9.5959,8.9648,4.3472,3.4025,2.0738,4.7756,,,,,,,,,,,,,,
16,10.3653,10.6897,5.5310,3.2650,3.3359,4.7053,,,,,,,,,,,,,,,
17,11.3127,7.3754,4.4129,3.2164,5.6452,,,,,,,,,,,,,,,,
18,8.1742,6.1820,4.2594,5.4070,,,,,,,,,,,,,,,,,
19,6.9953,5.8885,6.2081,,,,,,,,,,,,,,,,,,
20,6.6565,7.5613,,,,,,,,,,,,,,,,,,,
21,8.1678,,,,,,,,,,,,,,,,,,,,
