,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
2,15.0362,12.4534,-23.5577,41.6187,-11.9073,-8.0460,6.5073,5.3294,0.3777,5.3177,-11.8839,0.5345,-3.7438,12.6577,-0.9299,0.1695,-6.5323,2.9288,1.3794,4.1428,
3,27.8542,-17.0492,-1.2024,24.7822,-18.0450,-2.1406,12.2964,5.7489,4.9718,-7.2645,-11.2168,-3.6950,8.1264,11.8385,-0.7707,-6.4962,-3.7973,4.4043,5.4220,,
4,-2.1567,-3.8165,-3.3445,7.5292,-13.9973,4.3615,13.1848,9.3188,-4.6496,-9.7234,-13.3752,6.6258,10.0687,10.5392,-6.4232,-5.3880,-1.3922,8.1292,,,
5,6.9620,-5.1877,-9.8184,5.7597,-8.3664,6.8939,16.3770,0.7561,-7.8741,-13.2941,-4.4628,9.3515,10.2788,3.3826,-6.2022,-3.5493,2.6890,,,,
6,4.0946,-10.1418,-9.0124,8.2490,-5.1458,10.6742,8.1509,-3.1518,-11.9867,-6.6350,-0.8610,10.2512,4.5647,1.9088,-4.9170,0.0656,,,,,
7,-2.0196,-9.8653,-5.7778,9.4032,-1.2514,4.9639,3.6293,-7.9066,-7.1005,-3.5637,1.1134,5.4959,3.2562,1.9420,-1.8543,,,,,,
8,-3.0086,-7.4890,-3.6517,11.9880,-4.1376,1.5928,-1.8337,-4.3613,-4.6587,-1.6625,-1.7170,4.3556,3.2350,4.0718,,,,,,,
9,-1.7070,-5.7658,-0.7483,7.5973,-5.8428,-2.9879,0.7928,-2.5987,-3.0193,-3.8446,-1.9669,4.3358,5.1675,,,,,,,,
10,-0.7465,-3.3429,-2.9027,4.6398,-8.8238,-0.5758,1.9656,-1.3794,-4.8409,-3.9333,-1.4225,6.1435,,,,,,,,,
11,1.0583,-4.8660,-4.3357,0.5159,-6.5279,0.5924,2.7497,-3.2258,-4.9145,-3.3412,0.6051,,,,,,,,,,
12,-0.7651,-5.9015,-6.9114,2.0028,-5.1990,1.4176,0.6374,-3.4874,-4.3817,-1.4251,,,,,,,,,,,
13,-2.0863,-7.9265,-5.2720,2.6728,-4.1650,-0.3881,0.0760,-3.1596,-2.6500,,,,,,,,,,,,
14,-4.2884,-6.5747,-4.3052,3.1587,-5.3017,-0.8343,0.1252,-1.6852,,,,,,,,,,,,,
15,-3.3321,-5.7302,-3.5228,1.4844,-5.3999,-0.7360,1.3313,,,,,,,,,,,,,,
16,-2.7835,-5.0195,-4.5192,0.9313,-5.0807,0.4260,,,,,,,,,,,,,,,
17,-2.3172,-5.7845,-4.6702,0.8558,-3.8865,,,,,,,,,,,,,,,,
18,-3.2019,-5.8648,-4.4643,1.7219,,,,,,,,,,,,,,,,,
19,-3.4350,-5.6511,-3.4993,,,,,,,,,,,,,,,,,,
20,-3.3788,-4.7930,,,,,,,,,,,,,,,,,,,
21,-2.7045,,,,,,,,,,,,,,,,,,,,
