,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-14.9870,76.7330,203.0949,-59.1939,140.4421,17.6433,-32.7842,-0.7727,32.4964,35.2633,76.5880,-19.6874,-16.8897,-36.2810,26.9822,20.4536,21.6107,-20.7712,-5.2842,2.7919,29.0159
2,22.5749,131.4452,11.2120,-0.9470,68.1856,-11.0759,-18.3321,14.6615,33.8727,54.5505,19.0892,-18.3005,-27.2284,-10.0490,23.6748,21.0308,-1.8416,-13.3731,-1.3287,15.1598,
3,65.7527,29.7798,43.8041,4.8981,23.8844,-7.7662,-4.0373,21.1542,46.8188,24.2534,5.6331,-24.7969,-12.3896,-0.8535,22.9829,5.0892,-3.0028,-8.2890,7.8967,,
4,16.7553,51.4112,36.7635,-6.1480,17.1980,0.9761,4.5615,33.1202,26.2648,12.3686,-6.9070,-14.2740,-5.1316,4.3400,10.1804,2.3939,-1.5855,-0.1204,,,
5,34.9036,43.9593,18.6508,-5.0967,20.1094,7.0560,16.1153,20.3239,16.1333,0.3159,-0.9437,-8.2399,-0.3008,-1.2500,6.8976,2.4734,3.8905,,,,
6,31.8603,26.7978,15.1677,0.3310,22.5117,16.3686,9.1956,13.1277,5.0773,4.3354,2.3384,-3.8298,-4.0474,-1.9341,6.2021,6.4837,,,,,
7,19.7590,22.4335,17.4970,4.7056,29.0806,10.3643,5.0194,4.2209,7.9584,6.4987,4.8922,-6.4556,-4.2250,-1.2725,9.1958,,,,,,
8,16.9764,23.6483,19.5834,11.7748,21.6469,6.5201,-1.3392,6.8263,9.4465,8.2799,1.2770,-6.3100,-3.3748,2.0855,,,,,,,
9,18.6070,24.8880,24.8766,7.7439,16.6053,0.6088,1.4664,8.2610,10.7357,4.5861,0.5261,-5.3398,-0.2207,,,,,,,,
10,20.1758,29.2899,19.4844,4.9830,9.7674,2.9785,3.2219,9.5272,7.0895,3.5545,0.7504,-2.3629,,,,,,,,,
11,24.4549,23.8131,15.6056,0.3241,11.2308,4.4564,4.7718,6.3498,5.9008,3.4849,3.0410,,,,,,,,,,
12,19.9940,19.7679,10.0069,2.3136,11.9716,5.7884,2.3602,5.3280,5.6382,5.4041,,,,,,,,,,,
13,16.6514,14.0927,11.2279,3.6063,12.6852,3.4618,1.7509,5.1307,7.2753,,,,,,,,,,,,
14,11.7201,14.9684,11.8628,4.7989,9.8852,2.8111,1.8249,6.6794,,,,,,,,,,,,,
15,12.6779,15.3262,12.4876,2.8628,8.8023,2.8099,3.4443,,,,,,,,,,,,,,
16,13.1489,15.7092,10.0502,2.3337,8.4166,4.2792,,,,,,,,,,,,,,,
17,13.6299,13.1599,9.0831,2.3606,9.5317,,,,,,,,,,,,,,,,
18,11.3761,12.0469,8.7237,3.6852,,,,,,,,,,,,,,,,,
19,10.4303,11.5396,9.7074,,,,,,,,,,,,,,,,,,
20,10.0353,12.3543,,,,,,,,,,,,,,,,,,,
21,10.8723,,,,,,,,,,,,,,,,,,,,
