,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4.8300,15.8500,5.1500,-36.7900,26.3500,15.0600,1.9000,15.9900,32.3100,13.4600,1.2300,12.0000,21.7100,-4.5700,31.2200,18.3300,28.7300,-18.1800,26.1800,24.8900,17.7200
2,11.9554,8.7345,-25.6315,2.0578,18.9492,6.2518,10.9919,26.2885,19.8761,5.2693,8.2332,18.2335,3.8109,17.7627,22.8012,24.9446,-4.3474,9.5056,25.3500,20.2177,
3,8.6066,-17.5082,-1.6523,8.2580,10.4652,10.8849,20.6913,20.1167,10.5764,8.5096,14.5418,6.6447,16.2989,18.0313,25.5328,1.9382,9.7392,16.6450,21.7246,,
4,-12.7958,-1.2675,4.6724,5.7521,12.5298,18.4708,17.9796,12.7107,11.1159,13.3530,6.8495,15.3965,17.0494,21.8500,7.0218,10.7414,15.2359,17.0430,,,
5,-0.7085,3.8559,3.7648,8.9095,18.2196,16.9397,12.6011,12.4906,14.2859,7.4100,13.9441,16.2800,20.4319,7.8810,12.6978,14.9287,15.9859,,,,
6,3.5130,3.3093,6.9781,14.6013,17.0009,12.6906,12.4443,14.8042,9.0142,13.2466,15.0557,19.2981,9.0462,12.4466,15.7189,15.6362,,,,,
7,3.1202,6.2070,12.3162,14.3485,13.3405,12.5357,14.4414,10.1477,13.6789,14.3546,17.9002,9.7704,12.7161,15.0948,16.1528,,,,,,
8,5.7185,11.0486,12.5393,11.6650,13.0785,14.2617,10.4409,14.0022,14.5622,16.9649,9.8509,12.8379,14.9751,15.5919,,,,,,,
9,10.1184,11.4679,10.4727,11.7235,14.5112,10.7504,13.8031,14.7277,16.8315,10.0009,12.5560,14.8145,15.4344,,,,,,,,
10,10.6420,9.7812,10.7131,13.2169,11.3337,13.7102,14.4818,16.7276,10.6281,12.4004,14.3670,15.2488,,,,,,,,,
11,9.2317,10.0986,12.2082,10.5214,13.9204,14.3350,16.3171,11.1506,12.7036,14.0563,14.8198,,,,,,,,,,
12,9.5943,11.5428,9.8773,12.9855,14.4613,16.0196,11.2996,12.9690,14.1691,14.5064,,,,,,,,,,,
13,10.9818,9.4806,12.2177,13.5891,15.9858,11.4644,12.9461,14.2776,14.5676,,,,,,,,,,,,
14,9.1380,11.6860,12.8570,15.0859,11.8033,12.9614,14.1524,14.6325,,,,,,,,,,,,,
15,11.2208,12.3319,14.3161,11.2949,13.1521,14.0749,14.4925,,,,,,,,,,,,,,
16,11.8660,13.7385,10.8541,12.5989,14.1676,14.3976,,,,,,,,,,,,,,,
17,13.2212,10.5507,12.1127,13.5954,14.4604,,,,,,,,,,,,,,,,
18,10.2711,11.7568,13.0869,13.9151,,,,,,,,,,,,,,,,,
19,11.4284,12.7007,13.4256,,,,,,,,,,,,,,,,,,
20,12.3430,13.0475,,,,,,,,,,,,,,,,,,,
21,12.6951,,,,,,,,,,,,,,,,,,,,
