,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000
2,1.7531,-1.6360,-7.1577,12.6901,-1.6237,-2.0285,2.2749,2.4070,-2.6469,-1.9014,1.7543,1.4794,-3.9610,5.8595,-1.8072,1.5241,-6.9763,7.8983,-0.1833,-1.0344,
3,0.1148,-9.1648,4.0017,11.0366,-3.5312,0.0934,4.6188,-0.1887,-4.3928,-0.2473,3.2104,-2.5186,1.2179,4.0256,-0.4346,-5.6781,-0.2060,7.8040,-1.1483,,
4,-7.5818,-0.5829,5.5267,7.3816,-1.9618,2.6523,2.5658,-2.5129,-3.1037,1.4932,-0.2740,1.0935,1.1646,4.3292,-6.0641,-1.2427,1.7310,6.0471,,,
5,-1.1031,1.5742,4.0743,7.2435,0.3675,1.5968,0.1748,-2.0809,-1.3940,-0.9518,2.3843,1.1828,2.0849,-1.4300,-2.8935,0.4748,1.6503,,,,
6,0.8109,1.0912,4.7395,8.3717,-0.1076,-0.1704,0.0892,-0.9273,-3.0144,1.3723,2.3950,2.0334,-2.2399,0.4895,-1.3726,0.6444,,,,,
7,0.5330,2.1265,6.2416,7.1149,-1.3556,-0.2019,0.7952,-2.4385,-0.9091,1.5801,3.0730,-1.6174,-0.5849,1.3756,-1.0283,,,,,,
8,1.5446,3.7986,5.5684,5.2009,-1.2770,0.4398,-0.7505,-0.7601,-0.4870,2.3095,-0.2135,-0.2996,0.2865,1.3801,,,,,,,
9,3.1400,3.5450,4.1555,4.6580,-0.6390,-0.8643,0.5466,-0.4256,0.3370,-0.4357,0.8079,0.4278,0.4128,,,,,,,,
10,3.0325,2.5471,3.8408,4.7701,-1.6736,0.2747,0.7279,0.2837,-1.8223,0.4822,1.3694,0.5331,,,,,,,,,
11,2.2184,2.4398,4.0653,3.3279,-0.6325,0.4629,1.2770,-1.6170,-0.9305,1.0167,1.4008,,,,,,,,,,
12,2.1741,2.7777,2.8556,3.9701,-0.4017,0.9778,-0.5197,-0.8597,-0.3630,1.0841,,,,,,,,,,,
13,2.5246,1.8043,3.5046,3.8840,0.1113,-0.6009,0.0827,-0.3660,-0.2066,,,,,,,,,,,,
14,1.6676,2.4781,3.4837,4.1205,-1.2265,-0.0575,0.4697,-0.2282,,,,,,,,,,,,,
15,2.3103,2.5383,3.7482,2.5607,-0.7101,0.3009,0.5450,,,,,,,,,,,,,,
16,2.3895,2.8476,2.3475,2.8488,-0.3544,0.3809,,,,,,,,,,,,,,,
17,2.6964,1.6254,2.6386,3.0079,-0.2473,,,,,,,,,,,,,,,,
18,1.5774,1.9379,2.8087,2.9429,,,,,,,,,,,,,,,,,
19,1.8780,2.1360,2.7677,,,,,,,,,,,,,,,,,,
20,2.0724,2.1356,,,,,,,,,,,,,,,,,,,
21,2.0807,,,,,,,,,,,,,,,,,,,,
