,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,4.8300,15.8500,5.1500,-36.7900,26.3500,15.0600,1.9000,15.9900,32.3100,13.4600,1.2300,12.0000,21.7100,-4.5700,31.2200,18.3300,28.7300,-18.1800,26.1800,24.8900,17.7200
2,10.2023,10.3704,-18.4737,-10.6323,20.5729,8.2803,8.7170,23.8815,22.5230,7.1707,6.4789,16.7541,7.7719,11.9032,24.6084,23.4205,2.6289,1.6073,25.5333,21.2520,
3,8.4918,-8.3434,-5.6540,-2.7786,13.9964,10.7915,16.0724,20.3055,14.9692,8.7569,11.3314,9.1632,15.0810,14.0057,25.9674,7.6163,9.9453,8.8410,22.8729,,
4,-5.2140,-0.6846,-0.8543,-1.6295,14.4916,15.8185,15.4137,15.2236,14.2196,11.8598,7.1235,14.3029,15.8848,17.5208,13.0859,11.9840,13.5048,10.9959,,,
5,0.3946,2.2817,-0.3095,1.6661,17.8521,15.3429,12.4263,14.5715,15.6799,8.3618,11.5598,15.0972,18.3470,9.3110,15.5912,14.4539,14.3356,,,,
6,2.7021,2.2180,2.2386,6.2296,17.1085,12.8610,12.3551,15.7315,12.0286,11.8743,12.6606,17.2647,11.2861,11.9571,17.0915,14.9919,,,,,
7,2.5871,4.0805,6.0747,7.2336,14.6960,12.7376,13.6462,12.5861,14.5880,12.7745,14.8272,11.3878,13.3010,13.7192,17.1811,,,,,,
8,4.1739,7.2500,6.9709,6.4641,14.3555,13.8219,11.1914,14.7623,15.0492,14.6554,10.0643,13.1375,14.6886,14.2118,,,,,,,
9,6.9784,7.9229,6.3173,7.0654,15.1502,11.6147,13.2565,15.1534,16.4945,10.4365,11.7482,14.3868,15.0216,,,,,,,,
10,7.6095,7.2341,6.8723,8.4468,13.0074,13.4356,13.7539,16.4439,12.4503,11.9182,12.9976,14.7158,,,,,,,,,
11,7.0133,7.6589,8.1429,7.1935,14.5529,13.8720,15.0401,12.7676,13.6342,13.0395,13.4189,,,,,,,,,,
12,7.4202,8.7651,7.0217,9.0154,14.8630,15.0418,11.8193,13.8287,14.5321,13.4224,,,,,,,,,,,
13,8.4572,7.6763,8.7131,9.7051,15.8745,12.0653,12.8635,14.6436,14.7742,,,,,,,,,,,,
14,7.4704,9.2079,9.3733,10.9654,13.0298,13.0189,13.6827,14.8606,,,,,,,,,,,,,
15,8.9105,9.7936,10.5679,8.7341,13.8622,13.7740,13.9475,,,,,,,,,,,,,,
16,9.4766,10.8909,8.5066,9.7501,14.5220,14.0167,,,,,,,,,,,,,,,
17,10.5249,8.9254,9.4740,10.5876,14.7077,,,,,,,,,,,,,,,,
18,8.6937,9.8188,10.2782,10.9722,,,,,,,,,,,,,,,,,
19,9.5505,10.5647,10.6579,,,,,,,,,,,,,,,,,,
20,10.2706,10.9119,,,,,,,,,,,,,,,,,,,
21,10.6144,,,,,,,,,,,,,,,,,,,,
